,Company,Sector
271,KAYNES,Capital Goods
272,KEC,Capital Goods
273,KFINTECH,Financial Services
274,KOTAKBANK,Financial Services
275,KIMS,Healthcare
276,L&TFH,Financial Services
277,LTTS,Information Technology
278,LICHSGFIN,Financial Services
279,LTIM,Information Technology
280,LAXMIMACH,Capital Goods
281,LT,Construction
282,LATENTVIEW,Information Technology
283,LAURUSLABS,Healthcare
284,LXCHEM,Chemicals
285,LEMONTREE,Consumer Services
286,LICI,Financial Services
287,LINDEINDIA,Chemicals
288,LUPIN,Healthcare
289,LUXIND,Textiles
290,MMTC,Services
291,MRF,Automobile and Auto Components
292,MTARTECH,Capital Goods
293,LODHA,Realty
294,MGL,"Oil, Gas & Consumable Fuels"
295,M&MFIN,Financial Services
296,M&M,Automobile and Auto Components
297,MHRIL,Consumer Services
298,MAHLIFE,Realty
299,MANAPPURAM,Financial Services
300,MRPL,"Oil, Gas & Consumable Fuels"
301,MANKIND,Healthcare
302,MARICO,Fast Moving Consumer Goods
303,MARUTI,Automobile and Auto Components
304,MASTEK,Information Technology
305,MFSL,Financial Services
306,MAXHEALTH,Healthcare
307,MAZDOCK,Capital Goods
308,MEDPLUS,Consumer Services
309,METROBRAND,Consumer Durables
310,METROPOLIS,Healthcare
311,MINDACORP,Automobile and Auto Components
312,MSUMI,Automobile and Auto Components
313,MOTILALOFS,Financial Services
314,MPHASIS,Information Technology
315,MCX,Financial Services
316,MUTHOOTFIN,Financial Services
317,NATCOPHARM,Healthcare
318,NBCC,Construction
319,NCC,Construction
320,NHPC,Power
321,NLCINDIA,Power
322,NMDC,Metals & Mining
323,NSLNISP,Metals & Mining
324,NTPC,Power
325,NH,Healthcare
326,NATIONALUM,Metals & Mining
327,NAVINFLUOR,Chemicals
328,NAZARA,"Media, Entertainment & Publication"
329,NETWORK18,"Media, Entertainment & Publication"
330,NAM-INDIA,Financial Services
331,NUVOCO,Construction Materials
332,OBEROIRLTY,Realty
333,ONGC,"Oil, Gas & Consumable Fuels"
334,OIL,"Oil, Gas & Consumable Fuels"
335,OLECTRA,Automobile and Auto Components
336,PAYTM,Financial Services
337,OFSS,Information Technology
338,ORIENTELEC,Consumer Durables
339,POLICYBZR,Financial Services
340,PCBL,Chemicals
341,PIIND,Chemicals
342,PNBHOUSING,Financial Services
343,PNCINFRA,Construction
344,PVRINOX,"Media, Entertainment & Publication"
345,PAGEIND,Textiles
346,PATANJALI,Fast Moving Consumer Goods
347,PERSISTENT,Information Technology
348,PETRONET,"Oil, Gas & Consumable Fuels"
349,PFIZER,Healthcare
350,PHOENIXLTD,Realty
351,PIDILITIND,Chemicals
352,PEL,Financial Services
353,PPLPHARMA,Healthcare
354,POLYMED,Healthcare
355,POLYCAB,Capital Goods
356,POLYPLEX,Capital Goods
357,POONAWALLA,Financial Services
358,PFC,Financial Services
359,POWERGRID,Power
360,PRAJIND,Capital Goods
361,PRESTIGE,Realty
362,PRINCEPIPE,Capital Goods
363,PRSMJOHNSN,Construction Materials
364,PGHL,Healthcare
365,PGHH,Fast Moving Consumer Goods
366,PNB,Financial Services
367,QUESS,Services
368,RBLBANK,Financial Services
369,RECLTD,Financial Services
370,RHIM,Capital Goods
371,RITES,Construction
372,RADICO,Fast Moving Consumer Goods
373,RVNL,Construction
374,RAIN,Chemicals
375,RAINBOW,Healthcare
376,RAJESHEXPO,Consumer Durables
377,RALLIS,Chemicals
378,RCF,Chemicals
379,RATNAMANI,Capital Goods
380,RTNINDIA,Services
381,RAYMOND,Textiles
382,REDINGTON,Services
383,RELAXO,Consumer Durables
384,RELIANCE,"Oil, Gas & Consumable Fuels"
385,RBA,Consumer Services
386,ROSSARI,Chemicals
387,ROUTE,Telecommunication
388,SBICARD,Financial Services
389,SBILIFE,Financial Services
390,SJVN,Power
391,SKFINDIA,Capital Goods
392,SRF,Chemicals
393,SAFARI,Consumer Durables
394,MOTHERSON,Automobile and Auto Components
395,SANOFI,Healthcare
396,SAPPHIRE,Consumer Services
397,SAREGAMA,"Media, Entertainment & Publication"
398,SCHAEFFLER,Automobile and Auto Components
399,SHARDACROP,Chemicals
400,SFL,Consumer Durables
401,SHOPERSTOP,Consumer Services
402,SHREECEM,Construction Materials
403,RENUKA,Fast Moving Consumer Goods
404,SHRIRAMFIN,Financial Services
405,SHYAMMETL,Metals & Mining
406,SIEMENS,Capital Goods
407,SOBHA,Realty
408,SOLARINDS,Chemicals
409,SONACOMS,Automobile and Auto Components
410,SONATSOFTW,Information Technology
411,STARHEALTH,Financial Services
412,SBIN,Financial Services
413,SAIL,Metals & Mining
414,SWSOLAR,Construction
415,STLTECH,Telecommunication
416,SUMICHEM,Chemicals
417,SPARC,Healthcare
418,SUNPHARMA,Healthcare
419,SUNTV,"Media, Entertainment & Publication"
420,SUNDARMFIN,Financial Services
421,SUNDRMFAST,Automobile and Auto Components
422,SUNTECK,Realty
423,SUPRAJIT,Automobile and Auto Components
424,SUPREMEIND,Capital Goods
425,SUVENPHAR,Healthcare
426,SUZLON,Capital Goods
427,SWANENERGY,Realty
428,SYMPHONY,Consumer Durables
429,SYNGENE,Healthcare
430,SYRMA,Capital Goods
431,TTKPRESTIG,Consumer Durables
432,TV18BRDCST,"Media, Entertainment & Publication"
433,TVSMOTOR,Automobile and Auto Components
434,TANLA,Information Technology
435,TATACHEM,Chemicals
436,TATACOMM,Telecommunication
437,TCS,Information Technology
438,TATACONSUM,Fast Moving Consumer Goods
439,TATAELXSI,Information Technology
440,TATAINVEST,Financial Services
441,TATAMTRDVR,Automobile and Auto Components
442,TATAMOTORS,Automobile and Auto Components
443,TATAPOWER,Power
444,TATASTEEL,Metals & Mining
445,TTML,Telecommunication
446,TEAMLEASE,Services
447,TECHM,Information Technology
448,TEJASNET,Telecommunication
449,NIACL,Financial Services
450,RAMCOCEM,Construction Materials
451,THERMAX,Capital Goods
452,TIMKEN,Capital Goods
453,TITAN,Consumer Durables
454,TORNTPHARM,Healthcare
455,TORNTPOWER,Power
456,TRENT,Consumer Services
457,TRIDENT,Textiles
458,TRIVENI,Fast Moving Consumer Goods
459,TRITURBINE,Capital Goods
460,TIINDIA,Automobile and Auto Components
461,UCOBANK,Financial Services
462,UNOMINDA,Automobile and Auto Components
463,UPL,Chemicals
464,UTIAMC,Financial Services
465,UJJIVANSFB,Financial Services
466,ULTRACEMCO,Construction Materials
467,UNIONBANK,Financial Services
468,UBL,Fast Moving Consumer Goods
469,MCDOWELL-N,Fast Moving Consumer Goods
470,USHAMART,Capital Goods
471,VGUARD,Consumer Durables
472,VMART,Consumer Services
473,VIPIND,Consumer Durables
474,VAIBHAVGBL,Consumer Durables
475,VTL,Textiles
476,VARROC,Automobile and Auto Components
477,VBL,Fast Moving Consumer Goods
478,MANYAVAR,Consumer Services
479,VEDL,Metals & Mining
480,VIJAYA,Healthcare
481,VINATIORGA,Chemicals
482,IDEA,Telecommunication
483,VOLTAS,Consumer Durables
484,WELCORP,Capital Goods
485,WELSPUNLIV,Textiles
486,WESTLIFE,Consumer Services
487,WHIRLPOOL,Consumer Durables
488,WIPRO,Information Technology
489,YESBANK,Financial Services
490,ZFCVINDIA,Automobile and Auto Components
491,ZEEL,"Media, Entertainment & Publication"
492,ZENSARTECH,Information Technology
493,ZOMATO,Consumer Services
494,ZYDUSLIFE,Healthcare
495,ZYDUSWELL,Fast Moving Consumer Goods
496,ECLERX,Services
